feature,MEC_nonlin_gain,perm_importance_auc_drop
Administrative,0.009396302402585821,0.004636217801111264
Administrative_Duration,0.016562153336057706,0.011316335850910231
Informational,0.004180380082352442,-0.0008675278622088167
Informational_Duration,0.013530425396815371,-0.0017642227748611683
ProductRelated,0.04030661948979719,0.006336829541616673
ProductRelated_Duration,0.04555232747377269,0.0022591031899541593
BounceRates,0.00973176505922646,0.014267676767676651
ExitRates,0.019956228103503948,0.03144841269841263
PageValues,0.24947348899189403,0.3062001089926621
TotalTime,0.0479477147926588,-0.0007313829787235271
Adm_time_per_page,0.016989892995213363,0.002724528721869024
Pr_time_per_page,0.04702399434431548,0.008403756409075447
